п/п;Бригада;Дата;Код;sample;Участок;Тип;ПР;ПК;H;D0;D1;D2;D3;D4;D5;L1;L2;L3;L4;Примечания;Крат_ПР;Крат_ПК;Дубль
498;Захарова А.Е;06.07.2021;1760-0500;-1760-0500;;;1760;0500;;;;;;;;;;;; Проба не отбиралась, болото ;ИСТИНА;ИСТИНА;ЛОЖЬ
499;Захарова А.Е;06.07.2021;1760-0520;DG06-1760-0520;DG;06;1760;0520;0,2;В;5;6;3;1;3;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
500;Захарова А.Е;06.07.2021;1760-0540;DG06-1760-0540;DG;06;1760;0540;0,3;В;6;3;2;3;2;2;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
501;Захарова А.Е;06.07.2021;1760-0560;DG06-1760-0560;DG;06;1760;0560;0,3;В;5;5;2;2;2;2;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
502;Захарова А.Е;06.07.2021;1760-0580;DG06-1760-0580;DG;06;1760;0580;0,3;В;5;6;2;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
503;Захарова А.Е;06.07.2021;1760-0600;DG06-1760-0600;DG;06;1760;0600;0,2;В;5;6;2;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
504;Захарова А.Е;06.07.2021;1760-0620;DG06-1760-0620;DG;06;1760;0620;0,3;В;5;6;2;1;2;3;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
505;Захарова А.Е;06.07.2021;1760-0640;DG06-1760-0640;DG;06;1760;0640;0,3;В;5;6;2;1;2;3;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
506;Захарова А.Е;06.07.2021;1760-0660;DG06-1760-0660;DG;06;1760;0660;0,3;В;5;6;2;1;2;3;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
507;Захарова А.Е;06.07.2021;1760-0680;DG06-1760-0680;DG;06;1760;0680;0,4;В;5;6;2;1;2;3;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
508;Захарова А.Е;06.07.2021;1760-0700;DG06-1760-0700;DG;06;1760;0700;0,3;В;5;6;3;1;2;3;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
509;Захарова А.Е;06.07.2021;1760-0720;DG06-1760-0720;DG;06;1760;0720;0,2;В;5;6;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
510;Захарова А.Е;06.07.2021;1760-0740;DG06-1760-0740;DG;06;1760;0740;0,3;В;5;3;3;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
511;Захарова А.Е;06.07.2021;1760-0760;DG06-1760-0760;DG;06;1760;0760;0,3;В;5;6;2;4;3;4;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
512;Захарова А.Е;06.07.2021;1760-0780;DG06-1760-0780;DG;06;1760;0780;0,2;В;5;6;3;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
513;Захарова А.Е;06.07.2021;1760-0800;DG06-1760-0800;DG;06;1760;0800;0,2;В;5;6;3;3;3;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
514;Захарова А.Е;06.07.2021;1760-0820;DG06-1760-0820;DG;06;1760;0820;0,1;В;5;5;2;3;2;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
515;Захарова А.Е;06.07.2021;1760-0840;DG06-1760-0840;DG;06;1760;0840;0,2;В;5;6;2;2;3;4;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
516;Захарова А.Е;06.07.2021;1760-0860;DG06-1760-0860;DG;06;1760;0860;0,4;В;4;6;2;1;2;3;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
517;Захарова А.Е;06.07.2021;1760-0880;DG06-1760-0880;DG;06;1760;0880;0,2;В;4;5;2;3;3;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
1187;Коновалов С. А.;06.21.2021;1280-1360K;DG66-1280-1360K;DG;66;1280;1360;0,4;B;4;3;3;2;2;1;3;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
1322;Коновалов С. А.;06.29.2021;0560-1360K;DG06-0560-1360K;DG;06;0560;1360;0,3;B;4;3;2;2;2;3;4;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
520;Захарова А.Е;06.07.2021;1740-0920;DG06-1740-0920;DG;06;1740;0920;0,2;В;4;5;2;3;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
521;Захарова А.Е;06.07.2021;1740-0900;DG06-1740-0900;DG;06;1740;0900;0,3;В;4;5;2;3;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
522;Захарова А.Е;06.07.2021;1740-0880;DG86-1740-0880;DG;86;1740;0880;0,2;В;4;5;2;3;3;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
523;Захарова А.Е;06.08.2021;1740-0460;DG66-1740-0460;DG;66;1740;0460;0,3;В;5;6;3;1;2;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
524;Захарова А.Е;06.08.2021;1740-0480;DG66-1740-0480;DG;66;1740;0480;0,3;В;5;6;3;1;2;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
525;Захарова А.Е;06.08.2021;1740-0500;-1740-0500;;;1740;0500;;;;;;;;;;;;Проба не отбиралась, болото ;ИСТИНА;ИСТИНА;ЛОЖЬ
526;Захарова А.Е;06.08.2021;1740-0520;DG66-1740-0520;DG;66;1740;0520;0,3;В;5;4;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
527;Захарова А.Е;06.08.2021;1720-0540;DG66-1720-0540;DG;66;1720;0540;0,3;В;5;6;3;3;2;3;3;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
528;Захарова А.Е;06.08.2021;1720-0520;-1720-0520;;;1720;0520;;;;;;;;;;;;Проба не отбиралась, болото;ИСТИНА;ИСТИНА;ЛОЖЬ
529;Захарова А.Е;06.08.2021;1720-0500;DG66-1720-0500;DG;66;1720;0500;0,3;В;4;5;3;1;1;7;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
530;Захарова А.Е;06.08.2021;1720-0480;DG66-1720-0480;DG;66;1720;0480;0,3;В;4;5;3;2;2;3;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
531;Захарова А.Е;06.08.2021;1720-0460;DG06-1720-0460;DG;06;1720;0460;0,2;В;5;6;2;4;2;4;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
532;Захарова А.Е;06.08.2021;1720-0560;DG66-1720-0560;DG;66;1720;0560;0,3;В;4;4;3;2;2;4;4;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
533;Захарова А.Е;06.08.2021;1720-0580;DG06-1720-0580;DG;06;1720;0580;0,2;В;4;4;3;2;2;4;4;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
534;Захарова А.Е;06.08.2021;1720-0600;DG06-1720-0600;DG;06;1720;0600;0,2;В;5;5;2;3;3;2;4;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
535;Захарова А.Е;06.08.2021;1720-0620;DG06-1720-0620;DG;06;1720;0620;0,3;В;5;5;2;3;3;3;4;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
536;Захарова А.Е;06.08.2021;1720-0640;DG66-1720-0640;DG;66;1720;0640;0,4;В;4;6;2;1;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
537;Захарова А.Е;06.08.2021;1720-0660;-1720-0660;;;1720;0660;;;;;;;;;;;;Проба не отбиралась, болото ;ИСТИНА;ИСТИНА;ЛОЖЬ
538;Захарова А.Е;06.08.2021;1720-0680;DG66-1720-0680;DG;66;1720;0680;0,4;В;4;6;3;3;2;7;3;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
539;Захарова А.Е;06.08.2021;1720-0700;DG66-1720-0700;DG;66;1720;0700;0,3;В;4;6;3;3;2;1;3;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
540;Захарова А.Е;06.08.2021;1720-0720;DG66-1720-0720;DG;66;1720;0720;0,3;В;4;6;3;3;2;1;3;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
541;Захарова А.Е;06.08.2021;1720-0740;DG06-1720-0740;DG;06;1720;0740;0,4;В;4;6;3;3;2;3;3;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
542;Захарова А.Е;06.08.2021;1720-0760;DG06-1720-0760;DG;06;1720;0760;0,3;В;6;6;3;2;3;4;4;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
543;Захарова А.Е;06.08.2021;1720-0780;DG06-1720-0780;DG;06;1720;0780;0,3;В;7;6;3;4;3;4;4;1;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
544;Захарова А.Е;06.08.2021;1720-0800;DG06-1720-0800;DG;06;1720;0800;0,4;В;6;6;2;3;3;4;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
545;Захарова А.Е;06.08.2021;1720-0820;DG06-1720-0820;DG;06;1720;0820;0,2;В;4;6;2;2;3;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
546;Захарова А.Е;06.09.2021;1720-0880;DG06-1720-0880;DG;06;1720;0880;0,3;В;4;6;3;1;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
547;Захарова А.Е;06.09.2021;1720-0900;DG06-1720-0900;DG;06;1720;0900;0,3;В;4;4;3;1;3;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
548;Захарова А.Е;06.09.2021;1720-0920;DG06-1720-0920;DG;06;1720;0920;0,4;В;5;6;2;1;2;4;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
549;Захарова А.Е;06.09.2021;1720-0940;DG06-1720-0940;DG;06;1720;0940;0,3;В;5;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
550;Захарова А.Е;06.09.2021;1720-0960;DG06-1720-0960;DG;06;1720;0960;0,3;В;5;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
551;Захарова А.Е;06.09.2021;1720-0980;DG06-1720-0980;DG;06;1720;0980;0,3;В;5;3;3;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
552;Захарова А.Е;06.09.2021;1720-1000;DG06-1720-1000;DG;06;1720;1000;0,6;В;4;5;3;3;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
553;Захарова А.Е;06.09.2021;1720-1020;DG06-1720-1020;DG;06;1720;1020;0,7;В;4;5;3;3;2;5;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
554;Захарова А.Е;06.09.2021;1720-1040;DG06-1720-1040;DG;06;1720;1040;0,3;В;5;5;2;4;2;4;5;2;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
555;Захарова А.Е;06.09.2021;1720-1060;DG06-1720-1060;DG;06;1720;1060;0,3;В;4;6;2;4;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
556;Захарова А.Е;06.09.2021;1720-1080;DG06-1720-1080;DG;06;1720;1080;0,3;В;4;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
557;Захарова А.Е;06.09.2021;1720-1100;DG06-1720-1100;DG;06;1720;1100;0,3;В;5;7;3;3;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
558;Захарова А.Е;06.09.2021;1720-1120;DG06-1720-1120;DG;06;1720;1120;0,3;В;4;6;3;2;1;3;3;2;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
559;Захарова А.Е;06.09.2021;1720-1140;DG06-1720-1140;DG;06;1720;1140;0,3;В;4;6;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
560;Захарова А.Е;06.09.2021;1720-1160;DG06-1720-1160;DG;06;1720;1160;0,3;В;4;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
561;Захарова А.Е;06.09.2021;1720-1180;DG06-1720-1180;DG;06;1720;1180;0,3;В;4;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
562;Захарова А.Е;06.09.2021;1720-1200;DG06-1720-1200;DG;06;1720;1200;0,3;В;4;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
563;Захарова А.Е;06.09.2021;1720-1220;DG06-1720-1220;DG;06;1720;1220;0,3;В;4;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
564;Захарова А.Е;06.09.2021;1720-1240;DG66-1720-1240;DG;66;1720;1240;0,3;В;4;1;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
565;Захарова А.Е;06.09.2021;1720-1260;DG66-1720-1260;DG;66;1720;1260;0,3;В;4;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
566;Захарова А.Е;06.09.2021;1720-1280;DG66-1720-1280;DG;66;1720;1280;0,6;В;4;6;3;1;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
567;Захарова А.Е;06.09.2021;1720-1300;-1720-1300;;;1720;1300;;;;;;;;;;;;Проба не отбиралась,деревня;ИСТИНА;ИСТИНА;ЛОЖЬ
568;Захарова А.Е;06.09.2021;1700-1300;-1700-1300;;;1700;1300;;;;;;;;;;;;Проба не отбиралась,деревня;ИСТИНА;ИСТИНА;ЛОЖЬ
569;Захарова А.Е;06.09.2021;1700-1280;-1700-1280;;;1700;1280;;;;;;;;;;;;Проба не отбиралась,деревня;ИСТИНА;ИСТИНА;ЛОЖЬ
570;Захарова А.Е;06.09.2021;1700-1260;DG66-1700-1260;DG;66;1700;1260;0,5;В;4;7;3;1;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
571;Захарова А.Е;06.09.2021;1700-1240;DG66-1700-1240;DG;66;1700;1240;0,3;В;4;6;3;1;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
572;Захарова А.Е;06.11.2021;1620-1340;-1620-1340;;;1620;1340;;;;;;;;;;;;Проба не отбиралась,болото;ИСТИНА;ИСТИНА;ЛОЖЬ
573;Захарова А.Е;06.11.2021;1620-1320;-1620-1320;;;1620;1320;;;;;;;;;;;;Проба не отбиралась,болото;ИСТИНА;ИСТИНА;ЛОЖЬ
574;Захарова А.Е;06.11.2021;1620-1300;-1620-1300;;;1620;1300;;;;;;;;;;;;Проба не отбиралась, деревня;ИСТИНА;ИСТИНА;ЛОЖЬ
575;Захарова А.Е;06.11.2021;1620-1280;DG06-1620-1280;DG;06;1620;1280;0,3;В;3;7;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
576;Захарова А.Е;06.11.2021;1620-1260;DG06-1620-1260;DG;06;1620;1260;0,3;В;4;7;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
577;Захарова А.Е;06.11.2021;1620-1240;DG06-1620-1240;DG;06;1620;1240;0,3;В;4;7;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
578;Захарова А.Е;06.11.2021;1620-1220;DG06-1620-1220;DG;06;1620;1220;0,4;В;4;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
579;Захарова А.Е;06.11.2021;1620-1200;DG06-1620-1200;DG;06;1620;1200;0,4;В;3;2;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
580;Захарова А.Е;06.11.2021;1620-1180;DG06-1620-1180;DG;06;1620;1180;0,4;В;3;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
581;Захарова А.Е;06.11.2021;1620-1160;DG06-1620-1160;DG;06;1620;1160;0,4;В;3;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
582;Захарова А.Е;06.11.2021;1620-1140;DG06-1620-1140;DG;06;1620;1140;0,6;В;3;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
583;Захарова А.Е;06.11.2021;1620-1120;DG06-1620-1120;DG;06;1620;1120;0,4;В;3;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
584;Захарова А.Е;06.11.2021;1620-1100;DG06-1620-1100;DG;06;1620;1100;0,6;В;3;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
585;Захарова А.Е;06.11.2021;1620-1080;DG06-1620-1080;DG;06;1620;1080;0,6;В;3;6;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
586;Захарова А.Е;06.11.2021;1620-1060;DG06-1620-1060;DG;06;1620;1060;0,5;В;3;2;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
587;Захарова А.Е;06.11.2021;1620-1040;DG06-1620-1040;DG;06;1620;1040;0,5;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
588;Захарова А.Е;06.11.2021;1620-1020;DG06-1620-1020;DG;06;1620;1020;0,5;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
589;Захарова А.Е;06.11.2021;1620-1000;DG06-1620-1000;DG;06;1620;1000;0,4;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
590;Захарова А.Е;06.11.2021;1620-0980;DG06-1620-0980;DG;06;1620;0980;0,5;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
591;Захарова А.Е;06.11.2021;1620-0960;DG06-1620-0960;DG;06;1620;0960;0,6;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
592;Захарова А.Е;06.11.2021;1620-0940;DG06-1620-0940;DG;06;1620;0940;0,5;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
593;Захарова А.Е;06.11.2021;1640-0940;DG06-1640-0940;DG;06;1640;0940;0,5;В;3;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
594;Захарова А.Е;06.11.2021;1640-0960;DG06-1640-0960;DG;06;1640;0960;0,3;В;3;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
595;Захарова А.Е;06.11.2021;1640-0980;DG06-1640-0980;DG;06;1640;0980;0,4;В;3;6;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
596;Захарова А.Е;06.11.2021;1640-1000;DG06-1640-1000;DG;06;1640;1000;0,6;В;3;6;3;2;3;7;1;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
597;Захарова А.Е;06.11.2021;1640-1020;DG06-1640-1020;DG;06;1640;1020;0,5;В;3;7;3;1;3;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
598;Захарова А.Е;06.11.2021;1640-1040;DG06-1640-1040;DG;06;1640;1040;0,4;В;4;4;2;3;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
599;Захарова А.Е;06.11.2021;1640-1060;DG06-1640-1060;DG;06;1640;1060;0,5;В;4;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
600;Захарова А.Е;06.11.2021;1640-1080;DG06-1640-1080;DG;06;1640;1080;0,4;В;4;7;4;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
601;Захарова А.Е;06.11.2021;1640-1100;DG06-1640-1100;DG;06;1640;1100;0,6;В;4;6;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
602;Захарова А.Е;06.11.2021;1640-1120;DG06-1640-1120;DG;06;1640;1120;0,6;В;4;6;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
603;Захарова А.Е;06.11.2021;1640-1140;DG06-1640-1140;DG;06;1640;1140;0,7;В;4;2;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
604;Захарова А.Е;06.11.2021;1640-1160;DG06-1640-1160;DG;06;1640;1160;0,6;В;4;3;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
605;Захарова А.Е;06.11.2021;1640-1180;DG06-1640-1180;DG;06;1640;1180;0,8;В;4;2;4;1;2;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
606;Захарова А.Е;06.11.2021;1640-1200;DG06-1640-1200;DG;06;1640;1200;0,8;В;4;6;4;1;2;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
607;Захарова А.Е;06.11.2021;1640-1220;DG06-1640-1220;DG;06;1640;1220;0,6;В;4;2;4;1;2;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
608;Захарова А.Е;06.11.2021;1640-1240;DG06-1640-1240;DG;06;1640;1240;0,6;В;4;3;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
609;Захарова А.Е;06.11.2021;1640-1260;DG06-1640-1260;DG;06;1640;1260;0,5;В;4;3;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
610;Захарова А.Е;06.11.2021;1640-1280;DG06-1640-1280;DG;06;1640;1280;0,5;В;4;3;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
611;Захарова А.Е;06.11.2021;1640-1300;-1640-1300;;;1640;1300;;;;;;;;;;;;Проба не отбиралась, деревня;ИСТИНА;ИСТИНА;ЛОЖЬ
612;Захарова А.Е;06.11.2021;1640-1320;-1640-1320;;;1640;1320;;;;;;;;;;;;Проба не отбиралась, деревня;ИСТИНА;ИСТИНА;ЛОЖЬ
613;Захарова А.Е;06.12.2021;1700-0460;DG06-1700-0460;DG;06;1700;0460;0,2;В;4;6;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
614;Захарова А.Е;06.12.2021;1680-0460;DG06-1680-0460;DG;06;1680;0460;0,2;В;4;6;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
615;Захарова А.Е;06.12.2021;1660-0460;DG06-1660-0460;DG;06;1660;0460;0,2;В;4;6;4;1;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
616;Захарова А.Е;06.12.2021;1640-0460;DG06-1640-0460;DG;06;1640;0460;0,3;В;4;6;4;1;3;3;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
1325;Коновалов С. А.;06.29.2021;0560-1400K;DG06-0560-1400K;DG;06;0560;1400;0,3;B;4;3;2;2;2;3;4;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
1327;Коновалов С. А.;06.29.2021;0560-1420K;DG06-0560-1420K;DG;06;0560;1420;0,3;B;4;3;2;2;2;3;4;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
619;Захарова А.Е;06.12.2021;1600-0460;DG06-1600-0460;DG;06;1600;0460;0,3;В;5;6;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
620;Захарова А.Е;06.12.2021;1580-0460;DG06-1580-0460;DG;06;1580;0460;0,2;В;5;5;2;4;1;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
621;Захарова А.Е;06.12.2021;1560-0440;DG06-1560-0440;DG;06;1560;0440;0,2;В;5;5;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
622;Захарова А.Е;06.12.2021;1560-0460;DG06-1560-0460;DG;06;1560;0460;0,2;В;5;5;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
623;Захарова А.Е;06.12.2021;1560-0480;DG06-1560-0480;DG;06;1560;0480;0,6;В;5;5;2;3;2;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
624;Захарова А.Е;06.12.2021;1580-0480;DG06-1580-0480;DG;06;1580;0480;0,3;В;5;5;2;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
625;Захарова А.Е;06.12.2021;1600-0480;DG06-1600-0480;DG;06;1600;0480;0,2;В;5;6;3;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
626;Захарова А.Е;06.12.2021;1620-0480;DG06-1620-0480;DG;06;1620;0480;0,3;В;5;6;3;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
627;Захарова А.Е;06.12.2021;1640-0480;DG06-1640-0480;DG;06;1640;0480;0,2;В;5;6;2;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
628;Захарова А.Е;06.12.2021;1660-0480;DG06-1660-0480;DG;06;1660;0480;0,2;В;5;5;2;1;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
629;Захарова А.Е;06.12.2021;1680-0480;DG06-1680-0480;DG;06;1680;0480;0,3;В;5;6;2;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
1330;Коновалов С. А.;06.29.2021;0560-1460K;DG06-0560-1460K;DG;06;0560;1460;0,4;B;4;3;2;2;2;3;4;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
1337;Коновалов С. А.;06.29.2021;0540-1400K;DG06-0540-1400K;DG;06;0540;1400;0,3;B;4;3;2;2;2;3;4;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
632;Захарова А.Е;06.12.2021;1700-0500;DG66-1700-0500;DG;66;1700;0500;0,5;В;5;6;3;1;2;7;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
633;Захарова А.Е;06.12.2021;1700-0520;DG66-1700-0520;DG;66;1700;0520;0,5;В;5;6;3;1;2;7;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
634;Захарова А.Е;06.12.2021;1700-0540;DG66-1700-0540;DG;66;1700;0540;0,6;В;5;6;3;1;2;7;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
635;Захарова А.Е;06.12.2021;1700-0560;DG66-1700-0560;DG;66;1700;0560;0,9;В;5;7;2;1;3;5;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
636;Захарова А.Е;06.12.2021;1700-0580;DG66-1700-0580;DG;66;1700;0580;0,4;В;5;6;2;4;2;5;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
637;Захарова А.Е;06.12.2021;1700-0600;DG66-1700-0600;DG;66;1700;0600;0,3;В;5;5;2;4;2;5;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
638;Захарова А.Е;06.12.2021;1700-0620;DG66-1700-0620;DG;66;1700;0620;0,8;В;5;6;2;3;2;5;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
639;Захарова А.Е;06.12.2021;1700-0640;DG66-1700-0640;DG;66;1700;0640;0,4;В;4;5;2;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
640;Захарова А.Е;06.12.2021;1700-0660;-1700-0660;;;1700;0660;;;;;;;;;;;;Проба не отбиралась, болото;ИСТИНА;ИСТИНА;ЛОЖЬ
641;Захарова А.Е;06.12.2021;1700-0680;DG66-1700-0680;DG;66;1700;0680;0,4;В;4;7;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
642;Захарова А.Е;06.12.2021;1700-0700;DG66-1700-0700;DG;66;1700;0700;0,5;В;4;7;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
