Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0260-0920;51.47389 ;118.15595;731 m;Flag, Green;;;;;;;;;;;;;;
0260-0940;51.47299 ;118.15830;731 m;Flag, Green;;;;;;;;;;;;;;
0260-0960;51.47193 ;118.16069;726 m;Flag, Green;;;;;;;;;;;;;;
0260-0980;51.47087 ;118.16317;735 m;Flag, Green;;;;;;;;;;;;;;
0260-1000;51.46948 ;118.16528;738 m;Flag, Red;;;;;;;;;;;;;;
0260-1020;51.46917 ;118.16817;738 m;Flag, Red;;;;;;;;;;;;;;
0260-1040;51.46841 ;118.17085;738 m;Flag, Red;;;;;;;;;;;;;;
0260-1060;51.46743 ;118.17314;732 m;Flag, Green;;;;;;;;;;;;;;
0260-1080;51.46647 ;118.17577;729 m;Flag, Green;;;;;;;;;;;;;;
0260-1100;51.46548 ;118.17843;724 m;Flag, Green;;;;;;;;;;;;;;
0260-1120;51.46469 ;118.18064;733 m;Flag, Red;;;;;;;;;;;;;;
0260-1140;51.46371 ;118.18281;746 m;Flag, Red;;;;;;;;;;;;;;
0260-1160;51.46290 ;118.18571;775 m;Flag, Red;;;;;;;;;;;;;;
0260-1180;51.46201 ;118.18784;774 m;Flag, Red;;;;;;;;;;;;;;
0260-1200;51.46112 ;118.19029;793 m;Flag, Red;;;;;;;;;;;;;;
0260-1220;51.45989 ;118.19284;807 m;Flag, Red;;;;;;;;;;;;;;
0260-1240;51.45911 ;118.19545;806 m;Flag, Red;;;;;;;;;;;;;;
0260-1260;51.45823 ;118.19774;811 m;Flag, Red;;;;;;;;;;;;;;
0260-1280;51.45730 ;118.20048;820 m;Flag, Red;;;;;;;;;;;;;;
0260-1300;51.45637 ;118.20282;821 m;Flag, Red;;;;;;;;;;;;;;
0260-1320;51.45546 ;118.20517;814 m;Flag, Red;;;;;;;;;;;;;;
0260-1340;51.45449 ;118.20788;782 m;Flag, Red;;;;;;;;;;;;;;
0260-1360;51.45355 ;118.21023;803 m;Flag, Red;;;;;;;;;;;;;;
0260-1380;51.45283 ;118.21282;800 m;Flag, Red;;;;;;;;;;;;;;
0260-1400;51.45182 ;118.21544;780 m;Flag, Red;;;;;;;;;;;;;;
0260-1420;51.45089 ;118.21765;755 m;Flag, Red;;;;;;;;;;;;;;
0260-1440;51.44990 ;118.22021;733 m;Flag, Red;;;;;;;;;;;;;;
0260-1460;51.44891 ;118.22244;711 m;Flag, Green;;;;;;;;;;;;;;
0260-1480;51.44862 ;118.22439;695 m;Flag, Green;;;;;;;;;;;;;;
0260-1500;51.44712 ;118.22742;;Crossing;;;;;;;;;;;;;;
0280-0140;51.51137 ;118.06151;768 m;Flag, Red;;;;;;;;;;;;;;
0280-0160;51.51067 ;118.06344;762 m;Flag, Green;;;;;;;;;;;;;;
0280-0180;51.50928 ;118.06660;754 m;Flag, Green;;;;;;;;;;;;;;
0280-0200;51.50842 ;118.06819;754 m;Flag, Green;;;;;;;;;;;;;;
0280-0220;51.50729 ;118.07079;750 m;Flag, Green;;;;;;;;;;;;;;
0280-0240;51.50650 ;118.07407;738 m;Flag, Green;;;;;;;;;;;;;;
0280-0260;51.50595 ;118.07553;736 m;Flag, Green;;;;;;;;;;;;;;
0280-0280;51.50479 ;118.07838;735 m;Flag, Green;;;;;;;;;;;;;;
0280-0300;51.50421 ;118.08131;733 m;Flag, Green;;;;;;;;;;;;;;
0280-0320;51.50329 ;118.08397;731 m;Flag, Green;;;;;;;;;;;;;;
0280-0340;51.50195 ;118.08653;731 m;Flag, Green;;;;;;;;;;;;;;
0280-0360;51.50130 ;118.08904;732 m;Flag, Green;;;;;;;;;;;;;;
0280-0380;51.50060 ;118.09084;733 m;Flag, Green;;;;;;;;;;;;;;
0280-0400;51.49966 ;118.09350;731 m;Flag, Green;;;;;;;;;;;;;;
0280-0420;51.49862 ;118.09661;728 m;Flag, Green;;;;;;;;;;;;;;
0280-0440;51.49762 ;118.09826;727 m;Flag, Green;;;;;;;;;;;;;;
0280-0460;51.49645 ;118.09985;728 m;Flag, Green;;;;;;;;;;;;;;
0280-0480;51.49578 ;118.10219;726 m;Flag, Green;;;;;;;;;;;;;;
0280-0500;51.49466 ;118.10433;726 m;Flag, Green;;;;;;;;;;;;;;
0280-0520;51.49378 ;118.10806;760 m;Flag, Red;;;;;;;;;;;;;;
0280-0540;51.49303 ;118.10896;795 m;Flag, Red;;;;;;;;;;;;;;
0280-0560;51.49207 ;118.11366;761 m;Flag, Red;;;;;;;;;;;;;;
0280-0580;51.49167 ;118.11571;748 m;Flag, Red;;;;;;;;;;;;;;
0280-0600;51.49009 ;118.11839;747 m;Flag, Red;;;;;;;;;;;;;;
0280-0620;51.48947 ;118.12075;732 m;Flag, Green;;;;;;;;;;;;;;
0280-0640;51.48828 ;118.12297;727 m;Flag, Green;;;;;;;;;;;;;;
0280-0660;51.48749 ;118.12488;726 m;Flag, Green;;;;;;;;;;;;;;
0280-0680;51.48601 ;118.12873;730 m;Flag, Green;;;;;;;;;;;;;;
0280-0700;51.48544 ;118.13029;735 m;Flag, Red;;;;;;;;;;;;;;
0280-0720;51.48452 ;118.13223;733 m;Flag, Red;;;;;;;;;;;;;;
0280-0740;51.48390 ;118.13484;729 m;Flag, Red;;;;;;;;;;;;;;
0280-0760;51.48260 ;118.13741;750 m;Flag, Red;;;;;;;;;;;;;;
0280-0780;51.48197 ;118.13993;756 m;Flag, Red;;;;;;;;;;;;;;
0280-0800;51.48130 ;118.14195;745 m;Flag, Red;;;;;;;;;;;;;;
0280-0820;51.48018 ;118.14483;742 m;Flag, Red;;;;;;;;;;;;;;
0280-0840;51.47945 ;118.14641;734 m;Flag, Red;;;;;;;;;;;;;;
0280-0840K;51.47945 ;118.14641;734 m;Waypoint;;;;;;;;;;;;;;
0280-0860;51.47826 ;118.14975;750 m;Flag, Red;;;;;;;;;;;;;;
0280-0880;51.47736 ;118.15217;788 m;Flag, Red;;;;;;;;;;;;;;
0280-0880K;51.47736 ;118.15217;788 m;Waypoint;;;;;;;;;;;;;;
0280-0900;51.47626 ;118.15477;757 m;Flag, Red;;;;;;;;;;;;;;
0280-0920;51.47577 ;118.15728;729 m;Flag, Red;;;;;;;;;;;;;;
0280-0940;51.47418 ;118.16004;724 m;Flag, Green;;;;;;;;;;;;;;
0280-0960;51.47354 ;118.16224;723 m;Flag, Green;;;;;;;;;;;;;;
0280-0980;51.47276 ;118.16458;727 m;Flag, Green;;;;;;;;;;;;;;
0280-1000;51.47159 ;118.16714;733 m;Flag, Green;;;;;;;;;;;;;;
0280-1020;51.47096 ;118.16950;734 m;Flag, Green;;;;;;;;;;;;;;
0280-1040;51.47005 ;118.17162;737 m;Flag, Green;;;;;;;;;;;;;;
0280-1060;51.46907 ;118.17458;734 m;Flag, Green;;;;;;;;;;;;;;
0280-1080;51.46811 ;118.17707;728 m;Flag, Green;;;;;;;;;;;;;;
0280-1100;51.46691 ;118.17955;725 m;Flag, Green;;;;;;;;;;;;;;
0280-1120;51.46627 ;118.18163;727 m;Flag, Red;;;;;;;;;;;;;;
0280-1140;51.46524 ;118.18423;749 m;Flag, Red;;;;;;;;;;;;;;
0280-1160;51.46427 ;118.18694;784 m;Flag, Red;;;;;;;;;;;;;;
0280-1180;51.46353 ;118.18904;795 m;Flag, Red;;;;;;;;;;;;;;
0280-1200;51.46245 ;118.19166;780 m;Flag, Red;;;;;;;;;;;;;;
0280-1220;51.46131 ;118.19371;783 m;Flag, Red;;;;;;;;;;;;;;
0280-1240;51.46044 ;118.19650;784 m;Flag, Red;;;;;;;;;;;;;;
0280-1260;51.45953 ;118.19873;781 m;Flag, Red;;;;;;;;;;;;;;
0280-1280;51.45875 ;118.20160;798 m;Flag, Red;;;;;;;;;;;;;;
0280-1300;51.45780 ;118.20421;805 m;Flag, Red;;;;;;;;;;;;;;
0280-1320;51.45693 ;118.20658;788 m;Flag, Red;;;;;;;;;;;;;;
0280-1340;51.45614 ;118.20881;785 m;Flag, Red;;;;;;;;;;;;;;
0280-1360;51.45506 ;118.21116;789 m;Flag, Red;;;;;;;;;;;;;;
0280-1380;51.45395 ;118.21379;805 m;Flag, Red;;;;;;;;;;;;;;
0280-1400;51.45323 ;118.21647;792 m;Flag, Red;;;;;;;;;;;;;;
0280-1420;51.45260 ;118.21829;783 m;Flag, Red;;;;;;;;;;;;;;
0280-1440;51.45144 ;118.22129;734 m;Flag, Red;;;;;;;;;;;;;;
0280-1460;51.45050 ;118.22395;695 m;Flag, Green;;;;;;;;;;;;;;
0280-1480;51.44959 ;118.22644;;Crossing;;;;;;;;;;;;;;
0280-1500;51.44866 ;118.22890;;Crossing;;;;;;;;;;;;;;
0300-0160;51.51199 ;118.06479;772 m;Flag, Red;;;;;;;;;;;;;;
0300-0180;51.51072 ;118.06693;768 m;Flag, Red;;;;;;;;;;;;;;
0300-0200;51.51014 ;118.07005;813 m;Flag, Red;;;;;;;;;;;;;;
0300-0220;51.50878 ;118.07201;816 m;Flag, Red;;;;;;;;;;;;;;
0300-0240;51.50783 ;118.07422;774 m;Flag, Green;;;;;;;;;;;;;;
0300-0260;51.50712 ;118.07729;750 m;Flag, Green;;;;;;;;;;;;;;
0300-0280;51.50651 ;118.08032;737 m;Flag, Green;;;;;;;;;;;;;;
0300-0300;51.50592 ;118.08152;731 m;Flag, Green;;;;;;;;;;;;;;
0300-0320;51.50530 ;118.08499;729 m;Flag, Green;;;;;;;;;;;;;;
0300-0340;51.50416 ;118.08637;726 m;Flag, Green;;;;;;;;;;;;;;
0300-0360;51.50351 ;118.09019;729 m;Flag, Green;;;;;;;;;;;;;;
0300-0380;51.50257 ;118.09184;728 m;Flag, Green;;;;;;;;;;;;;;
0300-0400;51.50141 ;118.09481;730 m;Flag, Green;;;;;;;;;;;;;;
0300-0420;51.50044 ;118.09640;724 m;Flag, Green;;;;;;;;;;;;;;
0300-0440;51.49914 ;118.10030;725 m;Flag, Green;;;;;;;;;;;;;;
0300-0460;51.49849 ;118.10136;724 m;Flag, Green;;;;;;;;;;;;;;
0300-0480;51.49754 ;118.10528;725 m;Flag, Green;;;;;;;;;;;;;;
0300-0500;51.49678 ;118.10625;724 m;Flag, Green;;;;;;;;;;;;;;
0300-0520;51.49490 ;118.10998;719 m;Flag, Green;;;;;;;;;;;;;;
0300-0540;51.49459 ;118.11205;718 m;Flag, Green;;;;;;;;;;;;;;
0300-0560;51.49387 ;118.11497;720 m;Flag, Green;;;;;;;;;;;;;;
0300-0560K;51.49387 ;118.11497;720 m;Waypoint;;;;;;;;;;;;;;Категория 2
0300-0580;51.49271 ;118.11765;720 m;Flag, Green;;;;;;;;;;;;;;
0300-0600;51.49189 ;118.11956;721 m;Flag, Green;;;;;;;;;;;;;;
0300-0620;51.49079 ;118.12185;725 m;Flag, Green;;;;;;;;;;;;;;
0300-0620K;51.49079 ;118.12185;725 m;Waypoint;;;;;;;;;;;;;;Категория 2
0300-0640;51.49011 ;118.12479;718 m;Flag, Green;;;;;;;;;;;;;;
0300-0660;51.48889 ;118.12690;728 m;Flag, Green;;;;;;;;;;;;;;
0300-0680;51.48852 ;118.12994;728 m;Flag, Green;;;;;;;;;;;;;;
0300-0700;51.48693 ;118.13204;728 m;Flag, Green;;;;;;;;;;;;;;
0300-0720;51.48631 ;118.13410;730 m;Flag, Green;;;;;;;;;;;;;;
0300-0740;51.48515 ;118.13652;727 m;Flag, Green;;;;;;;;;;;;;;
0300-0760;51.48450 ;118.14042;720 m;Flag, Green;;;;;;;;;;;;;;
0300-0780;51.48412 ;118.14247;721 m;Flag, Green;;;;;;;;;;;;;;
0300-0800;51.48292 ;118.14523;723 m;Flag, Green;;;;;;;;;;;;;;
0300-0820;51.48244 ;118.14696;727 m;Flag, Green;;;;;;;;;;;;;;
0300-0840;51.48081 ;118.14985;731 m;Flag, Red;;;;;;;;;;;;;;
0300-0860;51.48043 ;118.15230;737 m;Flag, Red;;;;;;;;;;;;;;
0300-0860K;51.48043 ;118.15230;737 m;Waypoint;;;;;;;;;;;;;;
0300-0880;51.47898 ;118.15508;749 m;Flag, Red;;;;;;;;;;;;;;
0300-0880K;51.47898 ;118.15508;749 m;Waypoint;;;;;;;;;;;;;;
0300-0900;51.47863 ;118.15713;747 m;Flag, Red;;;;;;;;;;;;;;
0300-0920;51.47723 ;118.16016;761 m;Flag, Red;;;;;;;;;;;;;;
0300-0920K;51.47723 ;118.16016;761 m;Waypoint;;;;;;;;;;;;;;
0300-0940;51.47680 ;118.16210;741 m;Flag, Red;;;;;;;;;;;;;;
0300-0960;51.47487 ;118.16499;724 m;Flag, Green;;;;;;;;;;;;;;
0300-0980;51.47425 ;118.16633;726 m;Flag, Green;;;;;;;;;;;;;;
0300-1000;51.47327 ;118.16880;728 m;Flag, Green;;;;;;;;;;;;;;
0300-1020;51.47231 ;118.17109;732 m;Flag, Green;;;;;;;;;;;;;;
0300-1040;51.47134 ;118.17363;730 m;Flag, Green;;;;;;;;;;;;;;
0300-1060;51.47049 ;118.17585;724 m;Flag, Green;;;;;;;;;;;;;;
0300-1080;51.46971 ;118.17849;725 m;Flag, Green;;;;;;;;;;;;;;
0300-1100;51.46881 ;118.18106;718 m;Flag, Green;;;;;;;;;;;;;;
0300-1120;51.46797 ;118.18443;735 m;Flag, Green;;;;;;;;;;;;;;
0300-1140;51.46719 ;118.18650;740 m;Flag, Red;;;;;;;;;;;;;;
0300-1160;51.46625 ;118.18925;760 m;Flag, Red;;;;;;;;;;;;;;
0300-1180;51.46523 ;118.19103;764 m;Flag, Red;;;;;;;;;;;;;;
0300-1200;51.46421 ;118.19391;762 m;Flag, Red;;;;;;;;;;;;;;
0300-1220;51.46358 ;118.19656;761 m;Flag, Red;;;;;;;;;;;;;;
0300-1240;51.46237 ;118.19904;772 m;Flag, Red;;;;;;;;;;;;;;
0300-1260;51.46149 ;118.20073;776 m;Flag, Red;;;;;;;;;;;;;;
0300-1280;51.46045 ;118.20318;784 m;Flag, Red;;;;;;;;;;;;;;
0300-1300;51.45936 ;118.20543;786 m;Flag, Red;;;;;;;;;;;;;;
0300-1320;51.45861 ;118.20809;771 m;Flag, Red;;;;;;;;;;;;;;
0300-1340;51.45794 ;118.21084;749 m;Flag, Red;;;;;;;;;;;;;;
0300-1360;51.45675 ;118.21293;745 m;Flag, Red;;;;;;;;;;;;;;
0300-1380;51.45572 ;118.21501;756 m;Flag, Red;;;;;;;;;;;;;;
0300-1400;51.45492 ;118.21831;769 m;Flag, Red;;;;;;;;;;;;;;
0300-1420;51.45398 ;118.22047;764 m;Flag, Red;;;;;;;;;;;;;;
0300-1440;51.45301 ;118.22417;694 m;Flag, Red;;;;;;;;;;;;;;
0300-1460;51.45251 ;118.22577;684 m;Flag, Green;;;;;;;;;;;;;;
0300-1480;51.45142 ;118.22783;689 m;Flag, Green;;;;;;;;;;;;;;
0300-1500;51.45088 ;118.22957;690 m;Flag, Green;;;;;;;;;;;;;;
0320-0160;51.51295 ;118.06573;775 m;Flag, Red;;;;;;;;;;;;;;
0320-0180;51.51269 ;118.06899;776 m;Flag, Red;;;;;;;;;;;;;;
0320-0200;51.51181 ;118.07187;812 m;Flag, Red;;;;;;;;;;;;;;
0320-0220;51.51106 ;118.07335;805 m;Flag, Red;;;;;;;;;;;;;;
0320-0240;51.51015 ;118.07670;;Flag, Red;;;;;;;;;;;;;;
0320-0260;51.50923 ;118.07925;782 m;Flag, Red;;;;;;;;;;;;;;
0320-0280;51.50837 ;118.08094;779 m;Flag, Red;;;;;;;;;;;;;;
0320-0300;51.50685 ;118.08314;738 m;Flag, Red;;;;;;;;;;;;;;
0320-0320;51.50638 ;118.08589;736 m;Flag, Green;;;;;;;;;;;;;;
0320-0340;51.50523 ;118.08825;728 m;Flag, Green;;;;;;;;;;;;;;
0320-0360;51.50436 ;118.09083;730 m;Flag, Green;;;;;;;;;;;;;;
0320-0380;51.50342 ;118.09325;736 m;Flag, Green;;;;;;;;;;;;;;
0320-0400;51.50273 ;118.09564;745 m;Flag, Green;;;;;;;;;;;;;;
0320-0420;51.50127 ;118.09767;729 m;Flag, Green;;;;;;;;;;;;;;
0320-0440;51.50049 ;118.10073;;Flag, Green;;;;;;;;;;;;;;
0320-0460;51.49981 ;118.10314;726 m;Flag, Green;;;;;;;;;;;;;;
0320-0480;51.49884 ;118.10592;;Flag, Green;;;;;;;;;;;;;;
0320-0500;51.49840 ;118.10871;727 m;Flag, Green;;;;;;;;;;;;;;
0320-0520;51.49772 ;118.11125;724 m;Flag, Green;;;;;;;;;;;;;;
0320-0540;51.49555 ;118.11258;721 m;Flag, Green;;;;;;;;;;;;;;
0320-0540K;51.49555 ;118.11258;721 m;Waypoint;;;;;;;;;;;;;;Категория 2
0320-0560;51.49488 ;118.11622;717 m;Flag, Green;;;;;;;;;;;;;;
0320-0580;51.49371 ;118.11763;719 m;Flag, Green;;;;;;;;;;;;;;
0320-0580K;51.49371 ;118.11763;719 m;Waypoint;;;;;;;;;;;;;;Категория 2
0320-0600;51.49275 ;118.12111;716 m;Flag, Green;;;;;;;;;;;;;;
0320-0620;51.49213 ;118.12304;721 m;Flag, Green;;;;;;;;;;;;;;
0320-0640;51.49097 ;118.12618;718 m;Flag, Green;;;;;;;;;;;;;;
0320-0660;51.49001 ;118.12794;722 m;Flag, Green;;;;;;;;;;;;;;
0320-0680;51.48943 ;118.13125;724 m;Flag, Green;;;;;;;;;;;;;;
0320-0700;51.48842 ;118.13282;724 m;Flag, Green;;;;;;;;;;;;;;
0320-0720;51.48720 ;118.13548;725 m;Flag, Green;;;;;;;;;;;;;;
0320-0740;51.48611 ;118.13761;723 m;Flag, Green;;;;;;;;;;;;;;
0320-0760;51.48507 ;118.14089;723 m;Flag, Green;;;;;;;;;;;;;;
0320-0780;51.48416 ;118.14334;720 m;Flag, Green;;;;;;;;;;;;;;
0320-0800;51.48338 ;118.14482;723 m;Flag, Green;;;;;;;;;;;;;;
0320-0820;51.48250 ;118.14827;720 m;Flag, Green;;;;;;;;;;;;;;
0320-0840;51.48151 ;118.14961;722 m;Flag, Green;;;;;;;;;;;;;;
0320-0860;51.48050 ;118.15317;744 m;Flag, Green;;;;;;;;;;;;;;
0320-0880;51.47996 ;118.15486;747 m;Flag, Red;;;;;;;;;;;;;;
0320-0900;51.47874 ;118.15829;741 m;Flag, Red;;;;;;;;;;;;;;
0320-0900K;51.47874 ;118.15829;741 m;Waypoint;;;;;;;;;;;;;;
0320-0920;51.47775 ;118.15959;754 m;Flag, Red;;;;;;;;;;;;;;
0320-0940;51.47682 ;118.16338;739 m;Flag, Red;;;;;;;;;;;;;;
0320-0940K;51.47682 ;118.16338;739 m;Waypoint;;;;;;;;;;;;;;
0320-0960;51.47651 ;118.16433;725 m;Flag, Green;;;;;;;;;;;;;;
0320-0980;51.47617 ;118.16820;714 m;Flag, Green;;;;;;;;;;;;;;
0320-1000;51.47493 ;118.17012;713 m;Flag, Green;;;;;;;;;;;;;;
0320-1020;51.47391 ;118.17247;718 m;Flag, Green;;;;;;;;;;;;;;
0320-1040;51.47274 ;118.17503;721 m;Flag, Green;;;;;;;;;;;;;;
0320-1060;51.47229 ;118.17623;721 m;Flag, Green;;;;;;;;;;;;;;
0320-1080;51.47122 ;118.17993;720 m;Flag, Green;;;;;;;;;;;;;;
0320-1100;51.47021 ;118.18261;713 m;Flag, Green;;;;;;;;;;;;;;
0320-1120;51.46858 ;118.18516;732 m;Flag, Green;;;;;;;;;;;;;;
0320-1140;51.46798 ;118.18708;736 m;Flag, Red;;;;;;;;;;;;;;
0320-1160;51.46681 ;118.18960;755 m;Flag, Red;;;;;;;;;;;;;;
0320-1180;51.46608 ;118.19265;749 m;Flag, Red;;;;;;;;;;;;;;
0320-1200;51.46542 ;118.19492;750 m;Flag, Red;;;;;;;;;;;;;;
0320-1220;51.46479 ;118.19717;751 m;Flag, Red;;;;;;;;;;;;;;
0320-1240;51.46370 ;118.20026;765 m;Flag, Red;;;;;;;;;;;;;;
0320-1260;51.46305 ;118.20256;776 m;Flag, Red;;;;;;;;;;;;;;
0320-1280;51.46199 ;118.20492;787 m;Flag, Red;;;;;;;;;;;;;;
0320-1300;51.46116 ;118.20754;774 m;Flag, Red;;;;;;;;;;;;;;
0320-1320;51.46000 ;118.20979;762 m;Flag, Red;;;;;;;;;;;;;;
0320-1340;51.45914 ;118.21227;758 m;Flag, Red;;;;;;;;;;;;;;
0320-1360;51.45834 ;118.21488;737 m;Flag, Red;;;;;;;;;;;;;;
0320-1380;51.45762 ;118.21789;742 m;Flag, Red;;;;;;;;;;;;;;
0320-1400;51.45639 ;118.22000;732 m;Flag, Red;;;;;;;;;;;;;;
0320-1420;51.45529 ;118.22192;739 m;Flag, Red;;;;;;;;;;;;;;
0320-1440;51.45434 ;118.22537;690 m;Flag, Green;;;;;;;;;;;;;;
0320-1460;51.45329 ;118.22802;689 m;Flag, Green;;;;;;;;;;;;;;
0320-1480;51.45256 ;118.22945;688 m;Flag, Green;;;;;;;;;;;;;;
0320-1500;51.45180 ;118.23060;689 m;Flag, Green;;;;;;;;;;;;;;
0340-0180;51.51438 ;118.07015;788 m;Flag, Red;;;;;;;;;;;;;;
0340-0200;51.51334 ;118.07261;809 m;Flag, Red;;;;;;;;;;;;;;
0340-0220;51.51244 ;118.07506;798 m;Flag, Red;;;;;;;;;;;;;;
0340-0240;51.51138 ;118.07796;788 m;Flag, Red;;;;;;;;;;;;;;
0340-0260;51.51051 ;118.08034;798 m;Flag, Red;;;;;;;;;;;;;;
0340-0280;51.50961 ;118.08268;775 m;Flag, Red;;;;;;;;;;;;;;
0340-0300;51.50867 ;118.08491;763 m;Flag, Red;;;;;;;;;;;;;;
0340-0320;51.50773 ;118.08754;756 m;Flag, Red;;;;;;;;;;;;;;
0340-0340;51.50688 ;118.09002;751 m;Flag, Red;;;;;;;;;;;;;;
0340-0360;51.50594 ;118.09256;753 m;Flag, Red;;;;;;;;;;;;;;
0340-0380;51.50502 ;118.09504;763 m;Flag, Red;;;;;;;;;;;;;;
0340-0400;51.50397 ;118.09748;775 m;Flag, Red;;;;;;;;;;;;;;
0340-0420;51.50289 ;118.09957;798 m;Flag, Red;;;;;;;;;;;;;;
0340-0440;51.50246 ;118.10257;811 m;Flag, Red;;;;;;;;;;;;;;
0340-0460;51.50147 ;118.10514;785 m;Flag, Red;;;;;;;;;;;;;;
0340-0480;51.49982 ;118.10787;727 m;Flag, Green;;;;;;;;;;;;;;
0340-0500;51.49950 ;118.10994;724 m;Flag, Green;;;;;;;;;;;;;;
0340-0520;51.49859 ;118.11213;719 m;Flag, Green;;;;;;;;;;;;;;
0340-0540;51.49758 ;118.11486;718 m;Flag, Green;;;;;;;;;;;;;;
0340-0560;51.49708 ;118.11684;714 m;Flag, Green;;;;;;;;;;;;;;
0340-0580;51.49532 ;118.11854;717 m;Flag, Green;;;;;;;;;;;;;;
0340-0600;51.49487 ;118.12201;719 m;Flag, Green;;;;;;;;;;;;;;
0340-0620;51.49404 ;118.12474;718 m;Flag, Green;;;;;;;;;;;;;;
0340-0640;51.49313 ;118.12704;713 m;Flag, Green;;;;;;;;;;;;;;
0340-0660;51.49283 ;118.13033;718 m;Flag, Green;;;;;;;;;;;;;;
0340-0680;51.49166 ;118.13323;716 m;Flag, Green;;;;;;;;;;;;;;
0340-0680K;51.49166 ;118.13323;716 m;Waypoint;;;;;;;;;;;;;;Категория 2
0340-0700;51.49076 ;118.13573;716 m;Flag, Green;;;;;;;;;;;;;;
0340-0720;51.48916 ;118.13579;712 m;Flag, Green;;;;;;;;;;;;;;
0340-0720K;51.48916 ;118.13579;712 m;Waypoint;;;;;;;;;;;;;;Категория 2
0340-0740;51.48889 ;118.14066;713 m;Flag, Green;;;;;;;;;;;;;;
0340-0740K;51.48889 ;118.14066;713 m;Waypoint;;;;;;;;;;;;;;Категория 2
0340-0760;51.48811 ;118.14297;716 m;Flag, Green;;;;;;;;;;;;;;
0340-0760K;51.48811 ;118.14297;716 m;Waypoint;;;;;;;;;;;;;;Категория 2
0340-0780;51.48595 ;118.14406;718 m;Flag, Green;;;;;;;;;;;;;;
0340-0800;51.48585 ;118.14654;714 m;Flag, Green;;;;;;;;;;;;;;
0340-0820;51.48478 ;118.14926;715 m;Flag, Green;;;;;;;;;;;;;;
0340-0840;51.48458 ;118.15125;714 m;Flag, Green;;;;;;;;;;;;;;
0340-0860;51.48359 ;118.15510;715 m;Flag, Green;;;;;;;;;;;;;;
0340-0880;51.48228 ;118.15811;710 m;Flag, Green;;;;;;;;;;;;;;
0340-0900;51.48109 ;118.15989;722 m;Flag, Green;;;;;;;;;;;;;;
0340-0920;51.48062 ;118.16236;724 m;Flag, Green;;;;;;;;;;;;;;
0340-0940;51.47993 ;118.16454;718 m;Flag, Green;;;;;;;;;;;;;;
0340-0960;51.47852 ;118.16708;721 m;Flag, Green;;;;;;;;;;;;;;
0340-0980;51.47743 ;118.16829;717 m;Flag, Green;;;;;;;;;;;;;;
0340-1000;51.47632 ;118.17184;712 m;Flag, Green;;;;;;;;;;;;;;
0340-1020;51.47539 ;118.17437;714 m;Flag, Green;;;;;;;;;;;;;;
0340-1040;51.47439 ;118.17711;718 m;Flag, Green;;;;;;;;;;;;;;
0340-1060;51.47346 ;118.17953;716 m;Flag, Green;;;;;;;;;;;;;;
0340-1080;51.47286 ;118.18141;717 m;Flag, Green;;;;;;;;;;;;;;
0340-1100;51.47156 ;118.18409;714 m;Flag, Green;;;;;;;;;;;;;;
0340-1120;51.47094 ;118.18610;720 m;Flag, Green;;;;;;;;;;;;;;
0340-1140;51.46962 ;118.18990;731 m;Flag, Green;;;;;;;;;;;;;;
0340-1160;51.46877 ;118.19169;733 m;Flag, Red;;;;;;;;;;;;;;
0340-1180;51.46815 ;118.19340;735 m;Flag, Red;;;;;;;;;;;;;;
0340-1200;51.46721 ;118.19637;740 m;Flag, Red;;;;;;;;;;;;;;
0340-1220;51.46632 ;118.19920;749 m;Flag, Red;;;;;;;;;;;;;;
0340-1240;51.46530 ;118.20139;764 m;Flag, Red;;;;;;;;;;;;;;
0340-1260;51.46434 ;118.20410;778 m;Flag, Red;;;;;;;;;;;;;;
0340-1280;51.46363 ;118.20673;780 m;Flag, Red;;;;;;;;;;;;;;
0340-1300;51.46249 ;118.20911;762 m;Flag, Red;;;;;;;;;;;;;;
0340-1320;51.46144 ;118.21128;745 m;Flag, Red;;;;;;;;;;;;;;
0340-1340;51.46070 ;118.21340;736 m;Flag, Red;;;;;;;;;;;;;;
0340-1360;51.45984 ;118.21533;724 m;Flag, Red;;;;;;;;;;;;;;
0340-1380;51.45904 ;118.21901;717 m;Flag, Red;;;;;;;;;;;;;;
0340-1400;51.45865 ;118.22080;716 m;Flag, Red;;;;;;;;;;;;;;
0340-1420;51.45749 ;118.22359;716 m;Flag, Red;;;;;;;;;;;;;;
0340-1440;51.45654 ;118.22541;708 m;Flag, Green;;;;;;;;;;;;;;
0340-1460;51.45547 ;118.22759;693 m;Flag, Green;;;;;;;;;;;;;;
0340-1480;51.45460 ;118.22982;691 m;Flag, Green;;;;;;;;;;;;;;
0360-0180;51.51565 ;118.07171;817 m;Flag, Red;;;;;;;;;;;;;;
0360-0200;51.51489 ;118.07418;825 m;Flag, Red;;;;;;;;;;;;;;
0360-0220;51.51392 ;118.07667;808 m;Flag, Red;;;;;;;;;;;;;;
0360-0240;51.51298 ;118.07923;809 m;Flag, Red;;;;;;;;;;;;;;
0360-0260;51.51185 ;118.08150;811 m;Flag, Red;;;;;;;;;;;;;;
0360-0280;51.51070 ;118.08382;791 m;Flag, Red;;;;;;;;;;;;;;
0360-0300;51.51022 ;118.08658;781 m;Flag, Red;;;;;;;;;;;;;;
0360-0320;51.50915 ;118.08906;769 m;Flag, Red;;;;;;;;;;;;;;
