Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0040-0860;51.46016 ;118.13180;918 m;Flag, Red;;;;;;;;;;;;;;
0040-0880;51.45933 ;118.13450;898 m;Flag, Red;;;;;;;;;;;;;;
0040-0900;51.45790 ;118.13684;852 m;Flag, Red;;;;;;;;;;;;;;
0040-0920;51.45673 ;118.13860;857 m;Flag, Red;;;;;;;;;;;;;;
0040-0940;51.45584 ;118.14218;840 m;Flag, Red;;;;;;;;;;;;;;
0040-0960;51.45526 ;118.14475;841 m;Flag, Red;;;;;;;;;;;;;;
0040-0980;51.45443 ;118.14687;813 m;Flag, Red;;;;;;;;;;;;;;
0040-1000;51.45323 ;118.14957;781 m;Flag, Red;;;;;;;;;;;;;;
0040-1020;51.45255 ;118.15194;774 m;Flag, Red;;;;;;;;;;;;;;
0040-1040;51.45177 ;118.15448;763 m;Flag, Red;;;;;;;;;;;;;;
0040-1060;51.45053 ;118.15722;768 m;Flag, Red;;;;;;;;;;;;;;
0040-1080;51.44949 ;118.15951;770 m;Flag, Red;;;;;;;;;;;;;;
0040-1100;51.44842 ;118.16253;781 m;Flag, Red;;;;;;;;;;;;;;
0040-1120;51.44756 ;118.16423;789 m;Flag, Red;;;;;;;;;;;;;;
0040-1140;51.44672 ;118.16689;792 m;Flag, Red;;;;;;;;;;;;;;
0040-1160;51.44577 ;118.16951;787 m;Flag, Red;;;;;;;;;;;;;;
0040-1180;51.44491 ;118.17162;797 m;Flag, Red;;;;;;;;;;;;;;
0040-1200;51.44377 ;118.17418;816 m;Flag, Red;;;;;;;;;;;;;;
0040-1220;51.44314 ;118.17650;814 m;Flag, Red;;;;;;;;;;;;;;
0040-1240;51.44219 ;118.17872;796 m;Flag, Red;;;;;;;;;;;;;;
0060-0040;51.49926 ;118.03330;756 m;Flag, Green;;;;;;;;;;;;;;
0060-0060;51.49848 ;118.03420;754 m;Flag, Green;;;;;;;;;;;;;;
0060-0080;51.49724 ;118.03763;757 m;Flag, Green;;;;;;;;;;;;;;
0060-0100;51.49654 ;118.03959;763 m;Flag, Red;;;;;;;;;;;;;;
0060-0120;51.49544 ;118.04208;769 m;Flag, Red;;;;;;;;;;;;;;
0060-0140;51.49458 ;118.04478;786 m;Flag, Red;;;;;;;;;;;;;;
0060-0160;51.49387 ;118.04653;761 m;Flag, Red;;;;;;;;;;;;;;
0060-0180;51.49262 ;118.04934;757 m;Flag, Green;;;;;;;;;;;;;;
0060-0200;51.49168 ;118.05211;;Crossing;;;;;;;;;;;;;;
0060-0220;51.49080 ;118.05422;765 m;Flag, Red;;;;;;;;;;;;;;
0060-0240;51.48952 ;118.05652;780 m;Flag, Red;;;;;;;;;;;;;;
0060-0260;51.48904 ;118.05983;802 m;Flag, Red;;;;;;;;;;;;;;
0060-0280;51.48837 ;118.06189;834 m;Flag, Red;;;;;;;;;;;;;;
0060-0300;51.48734 ;118.06419;813 m;Flag, Red;;;;;;;;;;;;;;
